,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
01,000,Lakeview town
01,000,Lake View town
01,000,Lanett city
01,000,Langston town
01,000,Leeds city
01,000,Leesburg town
01,000,Leighton town
01,000,Lester town
01,000,Level Plains town
01,000,Lexington town
01,000,Libertyville town
01,000,Lincoln city
01,000,Linden city
01,000,Lineville city
01,000,Lipscomb city
01,000,Lisman town
01,000,Littleville town
01,000,Livingston city
01,000,Loachapoka town
01,000,Lockhart town
01,000,Locust Fork town
01,000,Louisville town
01,000,Lowndesboro town
01,000,Loxley town
01,000,Luverne city
01,000,Lynn town
01,000,McIntosh town
01,000,McKenzie town
01,000,McMullen town
01,000,Madison city
01,000,Madrid town
01,000,Magnolia Springs town
01,000,Malvern town
01,000,Maplesville town
01,000,Margaret town
01,000,Marion city
01,000,Maytown town
01,000,Memphis town
01,000,Mentone town
01,000,Midfield city
01,000,Midland City town
01,000,Midway town
01,000,Millbrook city
01,000,Millport town
01,000,Millry town
01,000,Mobile city
01,000,Monroeville city
01,000,Montevallo city
01,000,Montgomery city
01,000,Moody city
01,000,Mooresville town
01,000,Morris town
01,000,Mosses town
01,000,Moulton city
01,000,Moundville town
01,000,Mountain Brook city
01,000,Mount Vernon town
01,000,Mulga town
01,000,Munford town
01,000,Muscle Shoals city
01,000,Myrtlewood town
01,000,Napier Field town
01,000,Natural Bridge town
01,000,Nauvoo town
01,000,Nectar town
01,000,Needham town
01,000,Newbern town
01,000,New Brockton town
01,000,New Hope city
01,000,New Site town
01,000,Newton town
01,000,Newville town
01,000,North Courtland town
01,000,North Johns town
01,000,Northport city
01,000,Notasulga town
01,000,Oak Grove town
01,000,Oak Hill town
01,000,Oakman town
01,000,Odenville town
01,000,Ohatchee town
01,000,Oneonta city
01,000,Onycha town
01,000,Opelika city
01,000,Opp city
01,000,Orange Beach city
01,000,Orrville town
01,000,Owens Cross Roads town
01,000,Oxford city
01,000,Ozark city
01,000,Paint Rock town
01,000,Parrish town
01,000,Pelham city
01,000,Pell City city
01,000,Pennington town
01,000,Perdido Beach town
01,000,Petrey town
01,000,Phenix City city
01,000,Phil Campbell town
01,000,Pickensville town
01,000,Piedmont city
01,000,Pike Road town
01,000,Pinckard town
01,000,Pine Apple town
01,000,Pine Hill town
01,000,Pine Ridge town
01,000,Pinson city
01,000,Pisgah town
01,000,Pleasant Grove city
01,000,Pleasant Groves town
01,000,Pollard town
01,000,Powell town
01,000,Prattville city
01,000,Priceville town
01,000,Prichard city
01,000,Providence town
01,000,Ragland town
01,000,Rainbow City city
01,000,Rainsville city
01,000,Ranburne town
01,000,Red Bay city
01,000,Red Level town
01,000,Reece City town
01,000,Reform town
01,000,Rehobeth town
01,000,Repton town
01,000,Ridgeville town
01,000,River Falls town
01,000,Riverside city
01,000,Riverview town
01,000,Roanoke city
01,000,Robertsdale city
01,000,Rockford town
01,000,Rogersville town
01,000,Rosa town
01,000,Russellville city
01,000,Rutledge town
01,000,St. Florian town
01,000,Samson city
01,000,Sand Rock town
01,000,Sanford town
01,000,Saraland city
01,000,Sardis City town
01,000,Satsuma city
01,000,Scottsboro city
01,000,Section town
01,000,Selma city
01,000,Semmes city
01,000,Sheffield city
01,000,Shiloh town
01,000,Shorter town
01,000,Silas town
01,000,Silverhill town
01,000,Sipsey town
01,000,Skyline town
01,000,Slocomb city
01,000,Smiths Station city
01,000,Snead town
01,000,Somerville town
01,000,Southside city
01,000,South Vinemont town
01,000,Spanish Fort city
01,000,Springville city
01,000,Steele town
01,000,Stevenson city
01,000,Sulligent city
01,000,Sumiton city
01,000,Summerdale town
01,000,Susan Moore town
01,000,Sweet Water town
01,000,Sylacauga city
01,000,Sylvania town
01,000,Sylvan Springs town
01,000,Talladega city
01,000,Talladega Springs town
01,000,Tallassee city
01,000,Tarrant city
01,000,Taylor town
01,000,Thomaston town
01,000,Thomasville city
01,000,Thorsby town
01,000,Town Creek town
01,000,Toxey town
01,000,Trafford town
01,000,Triana town
01,000,Trinity town
01,000,Troy city
01,000,Trussville city
01,000,Tuscaloosa city
